Sr No,Name,Address,Occupation,State,Unit1,Unit2,Unit3,Unit4,Unit5
23,Carlos Soltero,Plymouth Boxed Rubber Bands by Plymouth,Rubber Bands,Nunavut,1412,-5.77,4.71,0.7,0.8
24,Carl Ludwig,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Nunavut,1539,-172.88,15.99,13.18,0.37
25,Carl Ludwig,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Computer Peripherals,Nunavut,1539,-144.55,4.89,4.93,0.66
26,Don Miller,Newell 335,Pens & Art Supplies,Nunavut,1540,5.76,2.88,0.7,0.56
27,Annie Cyprus,SANFORD Liquid Accent™ Tank-Style Highlighters,Pens & Art Supplies,Nunavut,1702,4.9,2.84,0.93,0.54
28,Carl Ludwig,Canon PC940 Copier,Copiers and Fax,Nunavut,1761,-547.61,449.99,49,0.38
29,Carlos Soltero,"Tenex Personal Project File with Scoop Front Design, Black",Storage & Organization,Nunavut,1792,-5.45,13.48,4.51,0.59
30,Grant Carroll,Col-Erase® Pencils with Erasers,Pens & Art Supplies,Nunavut,2275,41.67,6.08,1.17,0.56
31,Don Miller,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Computer Peripherals,Nunavut,2277,-46.03,5.98,4.38,0.75
32,Don Miller,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,Nunavut,2277,33.67,40.99,19.99,0.36
33,Alan Barnes,Self-Adhesive Address Labels for Typewriters by Universal,Labels,Nunavut,2532,140.01,7.31,0.49,0.38
34,Alan Barnes,Accessory37,Telephones and Communication,Nunavut,2532,-78.96,20.99,2.5,0.81
35,Jack Garza,Fuji 5.2GB DVD-RAM,Computer Peripherals,Nunavut,2631,252.66,40.96,1.99,0.55
36,Julia West,Bevis Steel Folding Chairs,Chairs & Chairmats,Nunavut,2757,-1766.01,95.95,74.35,0.57
37,Eugene Barchas,Avery Binder Labels,Binders and Binder Accessories,Nunavut,2791,-236.27,3.89,7.01,0.37
38,Eugene Barchas,Hon Every-Day® Chair Series Swivel Task Chairs,Chairs & Chairmats,Nunavut,2791,80.44,120.98,30,0.64
39,Eugene Barchas,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,Nunavut,2791,118.94,30.98,5.76,0.4
40,Edward Hooks,Global Troy™ Executive Leather Low-Back Tilter,Chairs & Chairmats,Nunavut,2976,3424.22,500.98,26,0.6
41,Brad Eason,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Binders and Binder Accessories,Nunavut,3232,-11.83,7.84,4.71,0.35
42,Nicole Hansen,Computer Printout Paper with Letter-Trim Perforations,Paper,Nunavut,3524,52.35,18.97,9.03,0.37
43,Dorothy Wardle,6160,Telephones and Communication,Nunavut,3908,-180.2,115.99,2.5,0.57
44,Aaron Bergman,Avery 49,Labels,Nunavut,4132,1.32,2.88,0.5,0.36
45,Jim Radford,Hoover Portapower™ Portable Vacuum,Appliances,Nunavut,4612,-375.64,4.48,49,0.6
46,Annie Cyprus,Timeport L7089,Telephones and Communication,Nunavut,4676,-104.25,125.99,7.69,0.58
47,Annie Cyprus,Avery 510,Labels,Nunavut,4676,85.96,3.75,0.5,0.37
48,Annie Cyprus,Xerox 1881,Paper,Nunavut,4676,-8.38,12.28,6.47,0.38
49,Annie Cyprus,LX 788,Telephones and Communication,Nunavut,4676,1115.69,155.99,8.99,0.58
50,Annie Cyprus,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,Nunavut,5284,-3.05,8.69,2.99,0.39
51,Clay Rozendal,"Memorex 4.7GB DVD-RAM, 3/Pack",Computer Peripherals,Nunavut,5316,514.07,31.78,1.99,0.42
52,Don Jones,Unpadded Memo Slips,Paper,Nunavut,5409,-7.04,3.98,2.97,0.35
53,Beth Thompson,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Paper,Nunavut,5506,4.41,5.88,3.04,0.36
54,Frank Price,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,Nunavut,5569,-0.06,9.65,6.22,0.55
55,Michelle Lonsdale,Bell Sonecor JB700 Caller ID,Telephones and Communication,Nunavut,5607,-50.33,7.99,5.03,0.6
56,Ann Chong,Avery Arch Ring Binders,Binders and Binder Accessories,Nunavut,5894,87.68,58.1,1.49,0.38
57,Ann Chong,APC 7 Outlet Network SurgeArrest Surge Protector,Appliances,Nunavut,5894,-68.22,80.48,4.5,0.55
58,Joy Bell,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Office Furnishings,Nunavut,5925,-354.9,92.23,39.61,0.67
59,Joy Bell,Accessory4,Telephones and Communication,Nunavut,5925,-267.01,85.99,0.99,0.85
60,Skye Norling,Personal Creations™ Ink Jet Cards and Labels,Paper,Nunavut,6016,3.63,11.48,5.43,0.36
61,Barry Weirich,High Speed Automatic Electric Letter Opener,"Scissors, Rulers and Trimmers",Nunavut,6116,-1759.58,1637.53,24.49,0.81
62,Grant Carroll,Xerox 1966,Paper,Nunavut,6182,-116.79,6.48,6.65,0.36
63,Grant Carroll,Xerox 213,Paper,Nunavut,6182,-67.28,6.48,7.86,0.37
64,Adrian Hane,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Pens & Art Supplies,Nunavut,6535,-19.33,28.15,8.99,0.57
65,Skye Norling,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,Nunavut,6884,-61.21,4.98,4.75,0.36
66,Skye Norling,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,Nunavut,6884,119.09,6.35,1.02,0.39
67,Andrew Gjertsen,Crate-A-Files™,Storage & Organization,Nunavut,6916,-141.27,10.9,7.46,0.59
68,Ralph Knight,"Angle-D Binders with Locking Rings, Label Holders",Binders and Binder Accessories,Nunavut,6980,-77.28,7.3,7.72,0.38
69,Dorothy Wardle,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,Nunavut,6982,407.44,39.48,1.99,0.54
70,Dorothy Wardle,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Bookcases,Nunavut,6982,-338.27,100.98,57.38,0.78
71,Dorothy Wardle,12-1/2 Diameter Round Wall Clock,Office Furnishings,Nunavut,6982,52.56,19.98,10.49,0.49
72,Grant Carroll,SAFCO Arco Folding Chair,Chairs & Chairmats,Nunavut,7110,1902.24,276.2,24.49,
73,Barry Weirich,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,Nunavut,7430,353.2,15.67,1.39,0.38
74,Beth Paige,3M Office Air Cleaner,Appliances,Nunavut,7906,271.78,25.98,5.37,0.5
75,Sylvia Foulston,"Global Leather and Oak Executive Chair, Black",Chairs & Chairmats,Nunavut,8391,-268.36,300.98,64.73,0.56
76,Nicole Hansen,Xerox 1936,Paper,Nunavut,8419,70.39,19.98,5.97,0.38
77,Nicole Hansen,Xerox 214,Paper,Nunavut,8419,-86.62,6.48,7.03,0.37
78,Nicole Hansen,Carina Double Wide Media Storage Towers in Natural & Black,Storage & Organization,Nunavut,8833,-846.73,80.98,35,0.81
79,Beth Paige,Staples® General Use 3-Ring Binders,Binders and Binder Accessories,Nunavut,8995,8.05,1.88,1.49,0.37
80,Beth Paige,Xerox 1904,Paper,Northwest Territories,8995,-78.02,6.48,5.86,0.36
81,Beth Paige,Luxo Professional Combination Clamp-On Lamps,Office Furnishings,Northwest Territories,8995,737.94,102.3,21.26,0.59
82,Beth Paige,Xerox 217,Paper,Northwest Territories,8995,-191.28,6.48,8.19,0.37
83,Beth Paige,Revere Boxed Rubber Bands by Revere,Rubber Bands,Northwest Territories,8995,-21.49,1.89,0.76,0.83
84,Sylvia Foulston,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Appliances,Northwest Territories,9126,884.08,62.05,3.99,0.55
85,Bryan Davis,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Storage & Organization,Northwest Territories,9127,-329.49,279.48,35,0.8
86,Joy Bell,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,Northwest Territories,9509,2825.15,320.98,58.95,0.57
87,Joy Bell,Xerox 1887,Paper,Northwest Territories,9509,2.13,18.97,5.21,0.37
88,Joy Bell,Xerox 1891,Paper,Northwest Territories,9509,707.15,48.91,5.81,0.38
89,Alan Barnes,Avery 506,Labels,Northwest Territories,9763,75.13,4.13,0.5,0.39
90,Grant Carroll,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Bookcases,Northwest Territories,9927,-270.63,140.98,53.48,0.65
91,Grant Carroll,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,Northwest Territories,9927,3387.35,218.08,18.06,0.57
92,Grant Carroll,Microsoft Natural Multimedia Keyboard,Computer Peripherals,Northwest Territories,9927,-82.16,50.98,6.5,0.73
93,Delfina Latchford,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Paper,Northwest Territories,10022,-3.88,10.14,2.27,0.36
94,Don Jones,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Northwest Territories,10437,-191.22,15.99,13.18,0.37
95,Doug Bickford,Bevis Boat-Shaped Conference Table,Tables,Northwest Territories,10499,31.21,262.11,62.74,0.75
96,Doug Bickford,"Linden® 12"" Wall Clock With Oak Frame",Office Furnishings,Northwest Territories,10535,-44.14,33.98,19.99,0.55
97,Doug Bickford,Newell 326,Pens & Art Supplies,Northwest Territories,10535,-0.79,1.76,0.7,0.56
98,Jamie Kunitz,Prismacolor Color Pencil Set,Pens & Art Supplies,Northwest Territories,10789,76.42,19.84,4.1,0.44
99,Anthony Johnson,Xerox Blank Computer Paper,Paper,Northwest Territories,10791,93.36,19.98,5.77,0.38
100,Ralph Knight,600 Series Flip,Telephones and Communication,Northwest Territories,10945,4.22,95.99,8.99,0.57
101,Allen Rosenblatt,Fellowes Recycled Storage Drawers,Storage & Organization,Northwest Territories,11137,395.12,111.03,8.64,0.78
102,Barry Weirich,Satellite Sectional Post Binders,Binders and Binder Accessories,Northwest Territories,11202,79.59,43.41,2.99,0.39
103,Doug Bickford,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Office Furnishings,Northwest Territories,11456,399.37,105.34,24.49,0.61
104,Carl Jackson,Avery 487,Labels,Northwest Territories,11460,37.79,3.69,0.5,0.38
105,Brendan Dodson,Bevis Round Conference Table Top & Single Column Base,Tables,Northwest Territories,11495,-144.2,146.34,43.75,0.65
106,Edward Hooks,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Binders and Binder Accessories,Northwest Territories,11911,-14.75,15.22,9.73,0.36
107,Jamie Kunitz,Hanging Personal Folder File,Storage & Organization,Northwest Territories,11941,-41.01,15.7,11.25,0.6
108,Jamie Kunitz,"Bevis Round Conference Table Top, X-Base",Tables,Northwest Territories,11941,111.52,179.29,29.21,0.74
109,Michelle Lonsdale,5125,Telephones and Communication,Northwest Territories,12096,2332.4,200.99,8.08,0.59
110,Michelle Lonsdale,Electrix Halogen Magnifier Lamp,Office Furnishings,Northwest Territories,12096,2176.19,194.3,11.54,0.59
111,Brendan Dodson,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Office Machines,Northwest Territories,12289,1269.05,120.97,7.11,0.36
112,Hunter Glantz,Fellowes Black Plastic Comb Bindings,Binders and Binder Accessories,Northwest Territories,12352,-32.82,5.81,8.49,0.39
113,Sylvia Foulston,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Office Machines,Northwest Territories,12419,5322.14,1938.02,13.99,0.38
114,Eugene Barchas,Hon GuestStacker Chair,Chairs & Chairmats,Northwest Territories,12485,1068.48,226.67,28.16,0.59
115,Jim Radford,Eldon® Wave Desk Accessories,Office Furnishings,Northwest Territories,12544,-129.01,2.08,5.33,0.43
116,Carlos Soltero,Sharp AL-1530CS Digital Copier,Copiers and Fax,Northwest Territories,12704,1260.51,499.99,24.49,0.36
117,Carlos Soltero,"Tennsco Lockers, Gray",Storage & Organization,Northwest Territories,12704,-1274.02,20.98,53.03,0.78
118,Carlos Soltero,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Labels,Northwest Territories,12771,-193.44,30.53,19.99,0.39
119,Carlos Soltero,Newell 323,Pens & Art Supplies,Northwest Territories,12771,-43.1,1.68,1.57,0.59
120,Jim Radford,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,Northwest Territories,12929,-158.93,270.98,50,0.77
121,Jim Radford,Spiral Phone Message Books with Labels by Adams,Paper,Northwest Territories,12929,29.68,4.48,1.22,0.36
122,Grant Carroll,Crate-A-Files™,Storage & Organization,Northwest Territories,13280,-116.76,10.9,7.46,0.59
123,Grant Carroll,Bell Sonecor JB700 Caller ID,Telephones and Communication,Northwest Territories,13280,-160.95,7.99,5.03,0.6
124,Skye Norling,Holmes 99% HEPA Air Purifier,Appliances,Northwest Territories,13313,-209.61,21.66,13.99,0.52
125,Doug Bickford,Xerox 224,Paper,Northwest Territories,13346,-240.83,6.48,8.88,0.37
126,Grant Carroll,Xerox 1906,Paper,Northwest Territories,13702,12.32,35.44,7.5,0.38
127,Muhammed MacIntyre,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,Northwest Territories,13795,-119.08,15.99,13.18,0.37
128,Muhammed MacIntyre,Xerox 188,Paper,Northwest Territories,13795,43.35,11.34,5.01,0.36
129,Muhammed MacIntyre,Xerox 1932,Paper,Northwest Territories,13795,545.49,35.44,5.09,0.38
130,Doug Bickford,GBC Linen Binding Covers,Binders and Binder Accessories,Northwest Territories,14116,-16.07,30.98,11.63,0.37
131,Doug Bickford,GBC Recycled Grain Textured Covers,Binders and Binder Accessories,Northwest Territories,14116,161.48,34.54,14.72,0.37
132,Beth Thompson,"Sauder Facets Collection Library, Sky Alder Finish",Bookcases,Northwest Territories,14372,-1059.2,170.98,60.49,0.69
133,Ralph Knight,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,Northwest Territories,14726,-21.48,20.95,4,0.6
134,Carl Jackson,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Appliances,Northwest Territories,14819,3122.78,207.48,0.99,0.55
135,Carl Jackson,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Bookcases,Northwest Territories,14819,-478.22,58.14,36.61,0.61
136,Dorothy Badders,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,Northwest Territories,15106,-14.23,6.64,4.95,0.37
137,Dorothy Badders,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Northwest Territories,15106,948.79,145.45,17.85,0.56
138,Dorothy Badders,Newell 327,Pens & Art Supplies,Northwest Territories,15106,-6.33,2.21,1.12,0.58
139,Delfina Latchford,Xerox 1893,Paper,Northwest Territories,15108,372.36,40.99,17.48,0.36
140,Julia West,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Northwest Territories,15205,678.26,243.98,43.32,0.55
141,Julia West,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Office Furnishings,Northwest Territories,15205,155.72,39.98,9.2,0.65
142,Brad Eason,"DAX Copper Panel Document Frame, 5 x 7 Size",Office Furnishings,Northwest Territories,15591,73.53,12.58,5.16,0.43
143,Thomas Seio,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Bookcases,Northwest Territories,15907,-1414.41,48.58,54.11,0.69
144,Thomas Seio,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Office Furnishings,Northwest Territories,15907,950.68,105.98,13.99,0.65
145,Thomas Seio,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Paper,Northwest Territories,15907,-5.41,7.04,2.17,0.38
146,Monica Federle,"Memorex Slim 80 Minute CD-R, 10/Pack",Computer Peripherals,Northwest Territories,15937,74.07,9.78,1.99,0.43
147,Monica Federle,Aluminum Document Frame,Office Furnishings,Northwest Territories,15937,77.38,12.22,2.85,0.55
148,Michelle Lonsdale,"Memorex 80 Minute CD-R Spindle, 100/Pack",Computer Peripherals,Northwest Territories,16039,-118.82,43.98,1.99,0.44
149,Frank Price,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Storage & Organization,Northwest Territories,16193,6.41,34.76,8.22,0.57
150,Frank Price,Accessory36,Telephones and Communication,Northwest Territories,16193,-183.68,55.99,5,0.83
151,Bryan Davis,Xerox 20,Paper,Northwest Territories,16423,-55.13,6.48,6.57,0.37
152,Don Jones,Surelock™ Post Binders,Binders and Binder Accessories,Northwest Territories,16451,58.23,30.56,2.99,0.35
153,Carlos Soltero,Colorific® Watercolor Pencils,Pens & Art Supplies,Northwest Territories,16545,4.45,5.16,0.73,0.56
154,Carlos Soltero,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",Northwest Territories,16545,-3.06,3.68,1.32,0.83
155,Nicole Hansen,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,Northwest Territories,16547,1240.25,355.98,58.92,0.64
156,Nicole Hansen,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,Northwest Territories,16547,-533.23,218.75,69.64,0.77
157,Beth Thompson,Eldon Econocleat® Chair Mats for Low Pile Carpets,Office Furnishings,Northwest Territories,16706,-1003.58,41.47,34.2,0.73
158,Beth Thompson,Prang Drawing Pencil Set,Pens & Art Supplies,Northwest Territories,16706,-4.06,2.78,1.2,0.58
159,Beth Thompson,T39m,Telephones and Communication,Northwest Territories,16706,1881.58,155.99,3.9,0.55
160,Nicole Hansen,Xerox 1982,Paper,Northwest Territories,16741,-42.38,22.84,16.87,0.39
161,Carlos Soltero,Xerox 1924,Paper,Northwest Territories,16932,-120.99,5.78,8.09,0.36
162,Carlos Soltero,Turquoise Lead Holder with Pocket Clip,Pens & Art Supplies,Northwest Territories,16932,12.88,6.7,1.56,0.52
163,Dorothy Badders,Okidata ML395C Color Dot Matrix Printer,Office Machines,Northwest Territories,17283,-2816.34,1360.14,14.7,0.59
164,Muhammed MacIntyre,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Chairs & Chairmats,Northwest Territories,17286,-541.87,270.98,50,0.77
165,Muhammed MacIntyre,Microsoft Internet Keyboard,Computer Peripherals,Northwest Territories,17409,-158.87,20.97,6.5,0.78
166,Don Miller,Xerox 1982,Paper,Northwest Territories,17764,-97.28,22.84,16.87,0.39
167,Sylvia Foulston,Global Ergonomic Managers Chair,Chairs & Chairmats,Northwest Territories,18080,-80.83,180.98,26.2,0.59
168,Becky Castell,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Chairs & Chairmats,Northwest Territories,18113,-514.32,130.98,30,0.78
169,Dorothy Wardle,Xerox 1971,Paper,Northwest Territories,18144,-131.82,4.28,5.17,0.4
170,Dorothy Wardle,Eldon Portable Mobile Manager,Storage & Organization,Northwest Territories,18144,-65.42,28.28,13.99,0.58
171,Dorothy Wardle,Accessory6,Telephones and Communication,Northwest Territories,18144,-250.17,55.99,5,0.8
172,Ann Chong,Durable Pressboard Binders,Binders and Binder Accessories,Northwest Territories,18308,15.73,3.8,1.49,0.38
173,Ann Chong,Fellowes 17-key keypad for PS/2 interface,Computer Peripherals,Northwest Territories,18308,-92.58,30.73,4,0.75
174,Ann Chong,StarTAC ST7762,Telephones and Communication,Northwest Territories,18308,1465.87,125.99,8.08,0.57
175,Clay Rozendal,Accessory21,Telephones and Communication,Northwest Territories,18887,18.23,20.99,0.99,0.37
176,Grant Carroll,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders and Binder Accessories,Northwest Territories,19010,10951.31,1270.99,19.99,0.35
177,Brendan Dodson,Staples 6 Outlet Surge,Appliances,Northwest Territories,19078,-18.19,11.97,4.98,0.58
178,Carlos Daly,Recycled Eldon Regeneration Jumbo File,Storage & Organization,Northwest Territories,19138,-31.45,12.28,6.13,0.57
179,Alan Barnes,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Northwest Territories,19655,304.42,39.24,1.99,0.51
180,Alan Barnes,Canon P1-DHIII Palm Printing Calculator,Office Machines,Northwest Territories,19686,-53.08,17.98,8.51,0.4
181,Alan Barnes,GBC Binding covers,Binders and Binder Accessories,Northwest Territories,19686,12.76,12.95,4.98,0.4
182,Nicole Hansen,Newell 323,Pens & Art Supplies,Northwest Territories,20007,-46.25,1.68,1.57,0.59
183,Cari Schnelling,"Global Stack Chair without Arms, Black",Chairs & Chairmats,Northwest Territories,20071,-190.41,25.98,14.36,0.6
184,Chad Cunningham,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Paper,Northwest Territories,20160,174.89,10.31,1.79,0.38
185,Bryan Mills,GBC Recycled Regency Composition Covers,Binders and Binder Accessories,Northwest Territories,20263,72.51,59.78,10.29,0.39
186,Bryan Mills,Accessory29,Telephones and Communication,Northwest Territories,20263,-76.86,20.99,1.25,0.83
187,Adrian Hane,Newell 323,Pens & Art Supplies,Northwest Territories,21285,-30.54,1.68,1.57,0.59
188,Adrian Hane,SANFORD Major Accent™ Highlighters,Pens & Art Supplies,Northwest Territories,21285,23.82,7.08,2.35,0.47
189,Rick Reed,Polycom ViaVideo™ Desktop Video Communications Unit,Office Machines,Northwest Territories,21383,7416.43,574.74,24.49,0.37
190,Heather Kirkland,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,Northwest Territories,21607,54.92,36.55,13.89,0.41
191,Fred Wasserman,Accessory24,Telephones and Communication,Northwest Territories,21636,366.51,55.99,3.3,0.59
192,Becky Castell,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Office Furnishings,Northwest Territories,21889,135.79,51.75,19.99,0.55
193,Becky Castell,Recycled Steel Personal File for Standard File Folders,Storage & Organization,Northwest Territories,21889,103.38,55.29,5.08,0.59
194,Beth Thompson,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,Northwest Territories,22151,-79.72,9.65,6.22,0.55
195,Claudia Miner,Accessory39,Telephones and Communication,Northwest Territories,22342,-92.96,20.99,3.3,0.81
196,Jack Lebron,Bell Sonecor JB700 Caller ID,Telephones and Communication,Northwest Territories,22469,-162.37,7.99,5.03,0.6
197,Alan Barnes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,Northwest Territories,22501,7.27,7.64,1.39,0.36
198,Carlos Soltero,GBC Standard Plastic Binding Systems Combs,Binders and Binder Accessories,Northwest Territories,22532,-11.8,8.85,5.6,0.36
199,Clay Rozendal,Xerox 1930,Paper,Northwest Territories,23264,-50.82,6.48,6.81,0.36
200,Clay Rozendal,Avery 474,Labels,Northwest Territories,23264,17.99,2.88,0.99,0.36
201,Julia West,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Northwest Territories,23488,-11053.6,880.98,44.55,0.62
202,Alan Barnes,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Office Machines,Northwest Territories,23584,636.18,200.97,15.59,0.36
203,Joy Bell,"IBM 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,Northwest Territories,24007,135.65,20.89,1.99,0.48
204,Joy Bell,"Peel & Seel® Recycled Catalog Envelopes, Brown",Envelopes,Northwest Territories,24007,-13.95,11.58,6.97,0.35
205,Joy Bell,Avery 506,Labels,Northwest Territories,24007,66.17,4.13,0.5,0.39
206,Jack Lebron,Prang Drawing Pencil Set,Pens & Art Supplies,Northwest Territories,24038,-0.95,2.78,1.34,0.45
207,Anthony Johnson,TDK 4.7GB DVD+RW,Computer Peripherals,Northwest Territories,24097,-35.34,14.48,1.99,0.49
208,Anthony Johnson,U.S. Robotics 56K Internet Call Modem,Computer Peripherals,Northwest Territories,24097,399.93,99.99,19.99,0.5
209,Anthony Johnson,Xerox 190,Paper,Northwest Territories,24097,-8.15,4.98,4.86,0.38
210,Eugene Barchas,Standard Line™ “While You Were Out” Hardbound Telephone Message Book,Paper,Northwest Territories,24128,7.07,21.98,8.32,0.39
211,Eugene Barchas,CF 888,Telephones and Communication,Northwest Territories,24128,1459.79,195.99,3.99,0.59
212,Thomas Seio,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Office Machines,Northwest Territories,24294,1951.3,200.97,15.59,0.36
213,Bryan Mills,Dana Halogen Swing-Arm Architect Lamp,Office Furnishings,Northwest Territories,24387,51.9,40.97,14.45,0.57
214,Bryan Mills,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Tables,Northwest Territories,24387,1418.36,349.45,60,
215,Eugene Barchas,Lexmark Z25 Color Inkjet Printer,Office Machines,Northwest Territories,24515,121.48,80.97,33.6,0.37
